Unnamed: 0,budget,movieId,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,userId,rating,timestamp,genres_flattened
0,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,1923,3.0,858335006,"Animation, Comedy, Family"
1,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,2103,5.0,946044912,"Animation, Comedy, Family"
2,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,5380,1.5,878941641,"Animation, Comedy, Family"
3,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,6177,4.0,859415226,"Animation, Comedy, Family"
4,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,6525,4.0,857388995,"Animation, Comedy, Family"
5,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,7050,3.0,951328483,"Animation, Comedy, Family"
6,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,7238,3.0,988054686,"Animation, Comedy, Family"
7,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,8659,4.0,997143296,"Animation, Comedy, Family"
8,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,9328,4.0,1037486302,"Animation, Comedy, Family"
9,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,9682,4.0,949005840,"Animation, Comedy, Family"
10,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,10425,3.0,878083313,"Animation, Comedy, Family"
11,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,11214,3.5,1078418362,"Animation, Comedy, Family"
12,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,13839,4.0,1182659035,"Animation, Comedy, Family"
13,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,15235,5.0,860224118,"Animation, Comedy, Family"
14,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,16287,4.0,877197469,"Animation, Comedy, Family"
15,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17210,4.0,975100124,"Animation, Comedy, Family"
16,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17211,5.0,953170641,"Animation, Comedy, Family"
17,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17325,5.0,1487586599,"Animation, Comedy, Family"
18,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17489,4.0,962654115,"Animation, Comedy, Family"
19,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17545,4.0,1024376279,"Animation, Comedy, Family"
20,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,17765,4.0,974939322,"Animation, Comedy, Family"
21,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,18274,4.5,1140040006,"Animation, Comedy, Family"
22,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,18303,3.5,1078731779,"Animation, Comedy, Family"
23,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,18595,5.0,978405016,"Animation, Comedy, Family"
24,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,19404,4.0,1000934787,"Animation, Comedy, Family"
25,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,19588,2.0,945550056,"Animation, Comedy, Family"
26,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,20159,3.0,940762346,"Animation, Comedy, Family"
27,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,21664,4.0,974790117,"Animation, Comedy, Family"
28,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,22904,1.5,863363649,"Animation, Comedy, Family"
29,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,23635,4.0,1061848918,"Animation, Comedy, Family"
30,30000000,862.0,en,21.946943,1995-10-30,173713725.0,81.0,Toy Story,7.7,1586.5,23695,3.0,968215777,"Animation, Comedy, Family"
